timestamp	solving_id	question_id	user_answer	elapsed_time	user_id
1.56266E+12	68	q5727	b	13499000	u1003
1.56413E+12	142	q9625	a	8890000	u1003
1.5192E+12	1189	q4831	a	7951000	u100811
1.55532E+12	141	q6028	d	6813000	u10019
1.55746E+12	396	q6331	c	5317000	u10019
1.55955E+12	506	q3644	c	5055000	u10019
1.57176E+12	2288	q17175	d	4268000	u10019
1.57198E+12	2308	q17175	d	4268000	u10019
1.55531E+12	136	q6727	c	3911000	u10019
1.56318E+12	1011	q8528	a	3215000	u10019
1.56384E+12	1129	q8638	d	3089000	u10019
1.56393E+12	1160	q6314	a	3021000	u10019
1.56403E+12	1183	q9386	b	2949000	u10019
1.55737E+12	373	q6742	d	2646000	u10019
1.52069E+12	127	q6381	c	2371000	u100630
1.57266E+12	2316	q17290	b	2324000	u10067
1.57287E+12	2411	q17290	b	2324000	u10067
1.55617E+12	232	q4308	c	2113000	u10019
1.55737E+12	372	q4395	c	1865000	u10019
1.51894E+12	470	q443	c	1849000	u100665
1.5566E+12	290	q3692	a	1847000	u10019
1.5211E+12	315	q5685	d	1825000	u100133
1.5193E+12	593	q842	a	1807000	u100665
1.56531E+12	853	q6058	a	1806000	u10055
1.56385E+12	1130	q4996	c	1612000	u10019
1.51642E+12	455	q6017	a	1529000	u100901
1.56276E+12	86	q4272	c	1462000	u1003
1.51789E+12	887	q5108	a	1396000	u100581
1.57069E+12	2029	q9422	a	1392000	u10019
1.52872E+12	934	q108	c	1374000	u100819
1.5179E+12	907	q6746	c	1280000	u100581
1.5192E+12	1391	q4200	a	1238000	u100711
1.56937E+12	453	q4135	a	1200000	u1
1.56396E+12	270	q6294	c	1197000	u10065
1.51642E+12	457	q4200	c	1044000	u100901
1.56385E+12	1131	q4931	c	1016000	u10019
1.56645E+12	301	q5070	d	1008000	u10075
1.51918E+12	163	q922	a	993000	u100112
1.55831E+12	411	q5399	a	967000	u10019
1.55195E+12	172	q8567	c	941000	u100215
1.52955E+12	506	q5502	b	934000	u100066
1.51799E+12	911	q4318	d	934000	u100581
1.52099E+12	163	q8897	a	825000	u100630
1.56333E+12	1049	q4612	c	809000	u10019
1.56342E+12	1074	q5121	d	806000	u10019
1.56755E+12	4578	q10240	a	797000	u10041
1.56153E+12	755	q5347	c	793000	u10012
1.55497E+12	122	q5659	c	787000	u10019
1.51755E+12	1079	q3937	c	756000	u100005
1.51642E+12	460	q9696	a	717000	u100901
1.51834E+12	397	q5768	c	712000	u100665
1.57201E+12	2322	q9561	a	697000	u10019
1.57222E+12	2396	q9561	a	697000	u10019
1.51808E+12	39	q8081	a	691000	u100193
1.55719E+12	3963	q1228	a	682000	u100660
1.55729E+12	347	q4186	c	667000	u10019
1.55239E+12	3563	q10309	b	667000	u100660
1.51678E+12	1346	q5223	d	667000	u100901
1.51819E+12	41	q9559	d	665000	u100150
1.55832E+12	422	q4919	a	646000	u10019
1.55686E+12	329	q3950	b	630000	u10019
1.51842E+12	536	q9734	c	630000	u100711
1.52933E+12	284	q6237	d	628000	u100589
1.51826E+12	94	q4371	a	624000	u100854
1.51595E+12	18	q4597	a	622000	u100505
1.56673E+12	582	q5632	d	617000	u10065
1.51789E+12	893	q5405	b	614000	u100581
1.55671E+12	1201	q5328	b	599000	u100581
1.51902E+12	1038	q9791	b	597000	u100711
1.51902E+12	124	q6494	a	589000	u100101
1.55265E+12	29	q33	a	583000	u10012
1.57227E+12	2445	q8588	a	580000	u10019
1.57248E+12	2517	q8588	a	580000	u10019
1.52412E+12	117	q598	c	576000	u100374
1.55686E+12	331	q10166	d	575000	u10019
1.53671E+12	243	q3922	d	558000	u10041
1.51741E+12	588	q6503	b	557000	u100607
1.51781E+12	866	q6685	c	554250	u100581
1.51781E+12	866	q6686	b	554250	u100581
1.51781E+12	866	q6687	b	554250	u100581
1.51781E+12	866	q6688	a	554250	u100581
1.56341E+12	3756	q8440	a	554000	u10041
1.53769E+12	2141	q5704	d	546000	u100121
1.51652E+12	649	q3689	d	536000	u100901
1.57202E+12	2347	q9804	b	526000	u10019
1.57223E+12	2421	q9804	b	526000	u10019
1.51896E+12	1783	q4688	d	521000	u100005
1.52343E+12	423	q5390	c	517000	u100847
1.56376E+12	1105	q8416	d	516000	u10019
1.51686E+12	132	q5635	d	516000	u100847
1.56276E+12	92	q1076	a	507000	u1003
1.51902E+12	1120	q4548	d	504000	u100711
1.56967E+12	1041	q4078	a	503000	u10065
1.51746E+12	220	q8482	b	480000	u100711
1.51741E+12	592	q5043	d	475000	u100607
1.5666E+12	663	q9522	a	474000	u10075
1.56076E+12	1887	q3656	a	472000	u10076
1.57078E+12	2064	q17245	c	471000	u10019
1.52069E+12	140	q5667	b	470000	u100630
1.57279E+12	2610	q9348	a	461000	u10019
1.57301E+12	2686	q9348	a	461000	u10019
1.54872E+12	2900	q3968	b	460000	u10041
1.5578E+12	1360	q4592	b	459000	u10076
1.55547E+12	212	q1641	b	456333	u10021
1.55547E+12	212	q1642	c	456333	u10021
1.55547E+12	212	q1643	b	456333	u10021
1.5173E+12	358	q4245	c	451000	u100474
1.56274E+12	2307	q3741	a	451000	u10076
1.55496E+12	117	q4918	c	450000	u10019
1.56697E+12	618	q5095	c	449000	u10029
1.51658E+12	110	q9608	a	443000	u100589
1.51782E+12	869	q7520	a	442800	u100581
1.51782E+12	869	q7521	d	442800	u100581
1.51782E+12	869	q7522	b	442800	u100581
1.51782E+12	869	q7523	d	442800	u100581
1.51782E+12	869	q7524	d	442800	u100581
1.55782E+12	63	q9104	b	438000	u10065
1.51678E+12	249	q9820	a	435000	u100474
1.51747E+12	68	q9056	b	433000	u100678
1.51638E+12	121	q9493	a	431000	u100133
1.51721E+12	51	q4901	a	430000	u100270
1.55736E+12	370	q4122	d	428000	u10019
1.55918E+12	457	q4683	c	427000	u10019
1.51949E+12	2247	q3318	b	426666	u100005
1.51949E+12	2247	q3319	a	426666	u100005
1.51949E+12	2247	q3320	c	426666	u100005
1.5165E+12	562	q4765	b	417000	u100901
1.55425E+12	7	q6472	b	415000	u10019
1.55722E+12	29	q3928	d	415000	u10065
1.5171E+12	334	q4263	a	414000	u100474
1.52769E+12	854	q4483	b	413000	u100819
1.56766E+12	358	q7405	a	405000	u100043
1.56766E+12	358	q7402	c	405000	u100043
1.56766E+12	358	q7404	c	405000	u100043
1.56766E+12	358	q7403	d	405000	u100043
1.51993E+12	307	q11031	d	404000	u100153
1.51772E+12	1142	q9869	c	403000	u100005
1.51724E+12	350	q9792	b	400000	u100474
1.55607E+12	215	q4059	a	398000	u10019
1.51802E+12	209	q6390	b	393000	u100496
1.51868E+12	1674	q5559	b	392000	u100005
1.5669E+12	607	q4272	c	392000	u10065
1.5295E+12	484	q4509	a	391000	u100066
1.51633E+12	335	q11193	d	390000	u100901
1.52404E+12	59	q4450	a	386000	u10034
1.5187E+12	857	q9863	a	385000	u100711
1.5169E+12	292	q5781	c	384000	u100474
1.56722E+12	177	q3916	a	383000	u10042
1.56983E+12	1078	q9598	c	383000	u10065
1.55742E+12	525	q6745	c	377000	u10012
1.5178E+12	322	q4483	d	377000	u100711
1.51678E+12	1348	q9976	d	377000	u100901
1.51896E+12	1789	q5104	b	376000	u100005
1.55292E+12	92	q3937	b	372000	u100485
1.57101E+12	485	q3788	d	371000	u10045
1.57043E+12	1229	q1399	c	371000	u10065
1.51703E+12	160	q391	a	369000	u100066
1.51671E+12	1101	q6105	b	369000	u100901
1.56676E+12	853	q8873	b	368000	u10075
1.52091E+12	1389	q1030	c	364000	u100811
1.51628E+12	75	q10233	a	361000	u100589
1.51609E+12	39	q60	b	356000	u100426
1.56608E+12	258	q6733	c	355000	u10045
1.51662E+12	837	q8646	a	355000	u100901
1.5178E+12	376	q8502	c	354000	u100474
1.54389E+12	2353	q5405	d	352000	u100634
1.51862E+12	72	q5459	b	351000	u100572
1.56958E+12	642	q6810	d	348500	u1
1.56958E+12	642	q6812	a	348500	u1
1.56958E+12	642	q6809	a	348500	u1
1.56958E+12	642	q6811	c	348500	u1
1.51819E+12	75	q4280	a	348000	u100648
1.52942E+12	462	q10169	b	347000	u100066
1.52348E+12	80	q4127	d	347000	u100266
1.52533E+12	285	q3912	c	347000	u100829
1.54129E+12	1569	q5627	b	346000	u10041
1.56845E+12	3242	q10257	d	346000	u10076
1.57104E+12	3504	q9031	a	346000	u10076
1.55392E+12	198	q4732	d	345000	u10012
1.51789E+12	905	q6358	a	342000	u100581
1.55946E+12	195	q5738	a	342000	u10065
1.51789E+12	901	q6176	d	341000	u100581
1.52231E+12	231	q4490	b	340000	u100319
1.53913E+12	922	q5765	a	340000	u10041
1.55956E+12	1673	q9460	c	339000	u10076
1.51947E+12	166	q3935	b	338000	u100112
1.56639E+12	473	q5071	a	338000	u10029
1.51923E+12	79	q10160	c	338000	u100370
1.52348E+12	65	q398	c	336000	u100266
1.56957E+12	882	q6294	c	335000	u10029
1.52496E+12	767	q985	a	335000	u100819
1.5173E+12	366	q9534	b	334000	u100474
1.55497E+12	121	q6525	c	333000	u10019
1.55531E+12	140	q6325	a	333000	u10019
1.56687E+12	545	q6131	b	333000	u10029
1.52393E+12	259	q6355	b	332000	u100319
1.54564E+12	144	q7542	b	331400	u1004
1.54564E+12	144	q7541	c	331400	u1004
1.54564E+12	144	q7543	b	331400	u1004
